,regime_0,regime_1,regime_2,regime_3
ghi,0.0,0.0,0.0,0.005391919412282301
air_temp,0.0,0.044423858704152074,0.0028897754971957666,0.0006723105587566534
humidity,0.0,0.0,0.0,0.0
wind_speed,0.0,0.0,0.0,0.002995252744422816
hour,0.0,0.0,0.0,0.0
month,0.06582237807903175,0.0,0.0,0.0
hour_sin,0.0,0.0,0.0001227837053542979,0.0
hour_cos,0.10130586283466052,0.0,0.010786265915593226,0.0
doy_sin,0.2130387729169354,0.09234122199795783,0.12219807184996002,0.35308585887995997
doy_cos,0.05206981628930933,0.1804174237111724,0.2930556717513102,0.5887203388005439
cos_zenith_proxy,0.0,0.0,0.0328588027145362,0.004310820977250595
clear_sky_index,0.0,0.5933514648435668,0.5056970398272209,0.03447426905308082
ghi_sq,0.0,0.0,0.0,0.0
ghi_x_elev,0.03389912866290573,0.0051622013222161,0.0,0.0017974286720707513
ghi_lag1,0.03241350587193197,0.0,0.0,0.0
ghi_roll3,0.0,0.0,0.0,0.0
temp_x_wind,0.0,0.0,0.0,0.0
temp_excess,0.0,0.0,0.0,0.0
temp_lag1,0.0,0.019646776725106153,0.0012343812961142192,0.0014738924039875423
temp_roll24,0.0,0.06465705269582872,0.030612659713354657,0.0030174627498001645
rh_roll24,0.17800472929913458,0.0,0.0,0.0
rh_x_temp,0.0,0.0,0.0,0.0003654975090539819
ghi_std3,0.16363141397011796,0.0,0.0,0.0
csi_roll24,0.1598143920759728,0.0,0.0005445477293606302,0.003694948238790694
