y_true,driver,yhat_gated,lower,upper
3.440188765525825,650.0515187581383,3.4129183825921823,2.8262989148150206,3.999537850369344
4.010347366333,772.0299530029309,4.0010688720094985,3.414449404232337,4.58768833978666
4.241264144579575,832.6333109537759,4.280679442303181,3.6949966739002056,4.866362210706156
4.149602890014658,805.8233286539709,4.153317601728859,3.567634833325884,4.739000370131834
3.752547264099117,715.7033589680991,3.7103572863290433,3.124674517926068,4.2960400547320186
3.0357889135678753,564.953992207845,2.9558940253300467,2.4608380362578983,3.450950014402195
1.9744832714398501,366.0217183430975,1.8718836394537566,1.3768276503816081,2.366939628525905
0.5182972205802767,95.490067323049,0.39387270945837316,0.09475467059050269,0.6929907483262436
1.1111583436528825,240.20510546366415,1.1384857610001382,0.8393677221322677,1.4376037998680087
2.535952786604575,479.9805170694992,2.4775809754831544,1.996098570357987,2.9590633806083217
3.4444471597671495,652.9026641845692,3.374851689416439,2.789168921013464,3.9605344578194144
4.009252806504566,778.4824676513667,3.9593978074839034,3.373715039080928,4.545080575886878
3.9778718551000085,836.7894999186192,4.230768612581536,3.6450858441785607,4.816451380984511
4.157058517138158,805.3307749430342,4.086052218523996,3.5003694501210205,4.671734986926971
3.7587083180745338,715.9291178385407,3.662623497560458,3.076940729157483,4.248306265963434
3.0369638601939,565.7771657307942,2.920621739075245,2.4391393339500778,3.4021041442004125
1.9868055780728666,364.7532424926767,1.8444155535876274,1.36293314846246,2.325897958712795
0.5279388961692638,93.30990537007625,0.3804336871807153,0.08131564831284482,0.6795517260485857
1.1344305550058718,235.61481920878,1.1011811216761989,0.8028132117791191,1.3995490315732786
2.556019504865008,468.68272908528667,2.3902920971603616,1.9088096920351942,2.871774502285529
3.4681777556737337,640.038935343425,3.276370026748365,2.6906872583453896,3.86205279515134
4.0263112783432,764.7554575602209,3.855781597699385,3.2700988292964097,4.441464366102361
4.243122339248667,821.9599660237617,4.124310108966075,3.5387289587020327,4.709891259230117
4.162458499272659,794.3771260579425,4.002006912689766,3.416425762425724,4.587588062953808
3.7666251460711333,704.3091583251941,3.5735050313974104,2.9879238811333684,4.159086181661452
3.0413944323857582,553.2124048868825,2.831561269504211,2.350078864379044,3.3130436746293785
1.992724994818375,357.5247395833333,1.7974502879672705,1.315967882842103,2.278932693092438
0.5316416968901917,90.72669331232657,0.36735272252338547,0.06898481262630574,0.6657206324204652
0.7780611018339849,175.25143686930252,0.8037910144920047,0.505423104594925,1.1021589243890846
1.0496833423773382,230.39212036132835,1.2012513772362856,0.9028834673392059,1.4996192871333653
2.1453721622625914,440.53667195637996,2.3001491191099017,1.8186667139847343,2.781631524235069
2.7315500974655254,533.660837809245,2.7697061096406808,2.2882237045155134,3.251188514765848
4.173427820205691,800.929509480795,3.9965537773932014,3.4109726271291594,4.582134927657243
3.8395722309748415,755.0253397623692,3.7898660369746353,3.2042848867105933,4.375447187238677
3.71200559536615,704.7958984374991,3.543671163383113,2.958090013119071,4.1292523136471555
2.7623888850212004,504.1844609578441,2.5797236654895954,2.098241260364428,3.061206070614763
2.017927745978042,360.0136566162117,1.7922465507798397,1.3107641456546724,2.273728955905007
0.5306277734537975,94.01445484161434,0.3775416953798879,0.07917378548280818,0.6759096052769676
0.8058444634079917,177.72113100687724,0.8229084836192048,0.524540573722125,1.1212763935162844
1.7120055854320542,355.62756601969585,1.8471451992861934,1.3705431310133223,2.3237472675590647
2.7894001205762335,528.7049357096358,2.78782554116728,2.311223472894409,3.264427609440151
3.4110834002494834,669.7178446451825,3.494185927829943,2.908604777565901,4.079767078093985
4.3376555442810085,838.7720108032199,4.288784059084594,3.703202908820552,4.874365209348635
4.1653722922007335,799.8590164184575,4.112697135245332,3.52711598498129,4.6982782855093745
3.0381276905536754,587.0916773478183,3.096179415974629,2.510598265710587,3.681760566238671
2.4017333785692916,474.16443125406914,2.508731391162441,2.03212932288957,2.9853334594353123
1.2942888736724991,269.4871966044117,1.400203223738228,1.1018353138411483,1.6985711336353078
0.5416222065687202,115.62764501571608,0.47669014367397267,0.17832223377689294,0.7750580535710524
1.1924666638175592,244.64748001098667,1.1528733917967375,0.8545054818996578,1.4512413016938173
2.6115166743596503,477.22009531657,2.484203203428748,2.007601135155877,2.960805271701619
3.5510944128036583,644.6952463785816,3.396449393236093,2.826747183591088,3.9661516028810984
4.101755698521941,767.6781921386718,3.997476537255044,3.4277743276100385,4.5671787469000495
4.330310543378192,827.2805328369133,4.279525012601176,3.7098228029561704,4.849227222246181
4.2714386781056835,805.7974853515616,4.177506279827805,3.6078040701827994,4.7472084894728095
3.863516747951508,723.4596252441407,3.771766760656074,3.202064551011069,4.341468970301079
3.118544419606533,569.4175694783524,2.9949284630855977,2.5183263948127266,3.471530531358469
2.0454639295737,374.6305541992183,1.927212636459843,1.4506105681869719,2.403814704732714
0.5613833311945235,105.16091521581033,0.4352462791547328,0.13687836925765307,0.7336141890518125
1.2240804930527933,255.29384231567334,1.18741731480991,0.8960953341180424,1.4787392955017777
2.61469995975495,486.96656290690083,2.4947023431258555,2.0181002748529844,2.9713044113987266
3.5183027585347415,652.4999796549458,3.354350022568319,2.7846478129233136,3.924052232213324
4.085536062717442,781.445251464845,3.932473548012719,3.362771338367714,4.502175757657724
4.336352626482658,844.1662750244142,4.201993241208821,3.6322910315638155,4.7716954508538265
4.226427872975683,814.0824228922525,4.070037736207784,3.5003355265627785,4.639739945852789
3.8212472796440085,722.7881876627599,3.639986452238854,3.0702842425938486,4.20968866188386
3.081669429938,563.2130610148091,2.8647483140200993,2.3881462457472282,3.3413503822929704
2.0213250021139753,368.65404764811166,1.8384163374797484,1.3618142692068773,2.3150184057526193
0.5557722405840945,105.12269814809083,0.42305820344276157,0.13173622275089392,0.7143801841346292
0.10903333872556716,42.6577866077424,0.1632577369689615,0.0,4.017888346322336
0.7645833268761583,170.65157318115433,0.7953479768468922,0.5040259961550245,1.08666995753876
1.4208943943182568,302.9373664855959,1.5893966983580339,1.2980747176661662,1.8807186790499015
2.9027360876401254,535.1037165323884,2.8174495019936745,2.3408474337208034,3.2940515702665456
3.9705388347307835,761.0817820231117,3.9018971636713187,3.3338996791804933,4.469894648162144
4.382386008898417,823.7539672851575,4.190809320175636,3.6228118356848107,4.758806804666461
4.245605488618208,812.0221405029283,4.1316737531545895,3.563676268663764,4.699671237645415
3.7702749967575,745.0580164591466,3.8124465905848406,3.2444491060940153,4.3804440750756655
2.040522297223419,420.20458221435666,2.2241989880965916,1.7516428116010823,2.696755164592101
1.3111472477515551,271.55945587158334,1.3992354954859705,1.1079135147941028,1.6905574761778381
0.23607777338475108,69.98485406239841,0.2883174250429835,0.0,0.5796394057348512
0.43450833360354335,107.50912539164226,0.5104815644492593,0.21915958375739164,0.801803545141127
0.7863250275452892,179.80631955464582,0.9686153072602045,0.6772933265683369,1.2599372879520723
0.8048861473798757,172.17034784952668,0.964432395412844,0.6731104147209763,1.2557543761047116
0.773922219872475,157.21098009745333,0.890061936654327,0.5987399559624593,1.1813839173461946
1.5307999998331159,331.20226796468086,1.8395758568670175,1.3670196803715082,2.312132033362527
1.627294411261875,361.35478973388666,1.9964848959606838,1.5239287194651745,2.469041072456193
1.6460332870483416,348.91630045572833,1.923177703093066,1.4506215265975566,2.395733879588575
2.9055610895156914,524.6539675394708,2.7828421033996746,2.3102859269041653,3.255398279895184
1.0206278413534091,225.8068949381508,1.1898760840479012,0.8991637311638315,1.480588436931971
0.3259444441646326,89.04273144404175,0.3706934987543446,0.07998114587027488,0.6614058516384143
1.2866888741652167,262.7623481750483,1.2217579408370145,0.9310455879529448,1.5124702937210843
2.6517250140508,501.3619562784817,2.5725955207439175,2.100039344248408,3.045151697239427
3.5862637360890663,684.0572408040358,3.5482776140586743,2.980280129567849,4.116275098549499
