,regime_0,regime_1,regime_2,regime_3
ghi,0.008571852771876292,0.0033037181947677802,0.0005833056077435277,0.007294452919504191
air_temp,0.0,0.05245679520334211,0.04514808282361722,0.06689113716732843
humidity,0.10124976083242337,0.011662730677317974,0.0,0.0
wind_speed,0.0016565159539845323,0.003934587419061945,0.0,0.0007666906737293698
hour,0.11463780899040749,0.010632756928867138,0.002986106923349595,0.0025200700880829148
month,0.0,0.043184293406089834,0.07443688614697372,0.24259985740871545
hour_sin,0.0005591800454716967,0.0,0.0,0.0
hour_cos,0.0,0.025579209382574686,0.003313038942961825,0.0
doy_sin,0.16841753310678934,0.07019461327291304,0.1496430437251852,0.26618584118852395
doy_cos,0.005484111472266306,0.15668541358963214,0.185295111795999,0.16441627677516688
cos_zenith_proxy,0.0,0.04510998244731563,0.033776016259378205,0.007436993034140814
clear_sky_index,0.0,0.4567307834712833,0.41588857393629153,0.07610246866098645
ghi_sq,0.0,0.0,0.0,0.0
ghi_x_elev,0.0,0.010042071780990858,0.0007383289097873013,0.008078668982520998
ghi_lag1,0.0,0.020238461352417286,0.0019502462081884427,0.005984758920385251
ghi_roll3,0.01535805993974938,0.027495098546454568,0.011970713666257456,0.01426506306972754
temp_x_wind,0.0,0.007143356413256086,0.006109667433826005,0.006907099770057066
temp_excess,0.0,0.0,0.0,0.0
temp_lag1,0.0,0.003513165014726875,0.004307803467531966,0.006773940565965958
temp_roll24,0.0,0.02686361772961517,0.03881338882543472,0.07670988869947001
rh_roll24,0.4226644143908265,0.0024104782549557403,0.0,0.0
rh_x_temp,0.0,0.004059317379117669,0.017150207108553205,0.04004713910877566
ghi_std3,0.12300666972134017,0.006991121548794769,0.006461623796489507,0.0060268790639489665
csi_roll24,0.03839409277486489,0.01176842798650529,0.0014278544224316384,0.0009927739029701335
